Sample,Slices,α,β,γ,ARI,NMI
Sample,151672,10,0.7,0.5,0.67,0.74
Sample,151672,10,0.7,0.7,0.67,0.74
Sample,151672,10,0.7,0.9,0.67,0.74
Sample,151672,10,0.9,0.3,0.67,0.73
Sample,151672,10,0.9,0.5,0.67,0.74
Sample,151672,10,0.9,0.7,0.67,0.74
Sample,151672,10,0.9,0.9,0.67,0.74
,,,,,,
Sample,151673,10,0.3,0.3,0.63,0.73
Sample,151673,10,0.3,0.5,0.61,0.73
Sample,151673,10,0.3,0.7,0.65,0.74
Sample,151673,10,0.3,0.9,0.65,0.74
Sample,151673,10,0.5,0.3,0.63,0.73
Sample,151673,10,0.5,0.5,0.66,0.75
Sample,151673,10,0.5,0.7,0.63,0.73
Sample,151673,10,0.5,0.9,0.65,0.74
Sample,151673,10,0.7,0.3,0.65,0.74
Sample,151673,10,0.7,0.5,0.63,0.73
Sample,151673,10,0.7,0.7,0.63,0.73
Sample,151673,10,0.7,0.9,0.65,0.74
Sample,151673,10,0.9,0.3,0.63,0.73
Sample,151673,10,0.9,0.5,0.63,0.73
Sample,151673,10,0.9,0.7,0.66,0.75
Sample,151673,10,0.9,0.9,0.65,0.75
,,,,,,
Sample,151674,10,0.3,0.3,0.62,0.72
Sample,151674,10,0.3,0.5,0.63,0.72
Sample,151674,10,0.3,0.7,0.63,0.72
Sample,151674,10,0.3,0.9,0.61,0.72
Sample,151674,10,0.5,0.3,0.63,0.72
Sample,151674,10,0.5,0.5,0.65,0.74
Sample,151674,10,0.5,0.7,0.62,0.72
Sample,151674,10,0.5,0.9,0.62,0.72
Sample,151674,10,0.7,0.3,0.63,0.72
Sample,151674,10,0.7,0.5,0.63,0.72
Sample,151674,10,0.7,0.7,0.61,0.72
Sample,151674,10,0.7,0.9,0.62,0.72
Sample,151674,10,0.9,0.3,0.58,0.7
Sample,151674,10,0.9,0.5,0.62,0.71
Sample,151674,10,0.9,0.7,0.62,0.72
Sample,151674,10,0.9,0.9,0.62,0.72
,,,,,,
Sample,151675,10,0.3,0.3,0.57,0.67
Sample,151675,10,0.3,0.5,0.57,0.67
Sample,151675,10,0.3,0.7,0.57,0.67
Sample,151675,10,0.3,0.9,0.59,0.71
Sample,151675,10,0.5,0.3,0.56,0.66
Sample,151675,10,0.5,0.5,0.63,0.72
Sample,151675,10,0.5,0.7,0.57,0.67
Sample,151675,10,0.5,0.9,0.59,0.68
Sample,151675,10,0.7,0.3,0.55,0.66
Sample,151675,10,0.7,0.5,0.58,0.68
Sample,151675,10,0.7,0.7,0.57,0.67
Sample,151675,10,0.7,0.9,0.59,0.68
Sample,151675,10,0.9,0.3,0.59,0.69
Sample,151675,10,0.9,0.5,0.57,0.66
Sample,151675,10,0.9,0.7,0.58,0.68
Sample,151675,10,0.9,0.9,0.57,0.67
,,,,,,
Sample,151676,10,0.3,0.3,0.6,0.7
Sample,151676,10,0.3,0.5,0.65,0.73
Sample,151676,10,0.3,0.7,0.62,0.71
Sample,151676,10,0.3,0.9,0.65,0.73
Sample,151676,10,0.5,0.3,0.56,0.66
Sample,151676,10,0.5,0.5,0.66,0.73
Sample,151676,10,0.5,0.7,0.49,0.62
Sample,151676,10,0.5,0.9,0.6,0.68
Sample,151676,10,0.7,0.3,0.58,0.67
Sample,151676,10,0.7,0.5,0.59,0.68
Sample,151676,10,0.7,0.7,0.57,0.67
Sample,151676,10,0.7,0.9,0.61,0.69
Sample,151676,10,0.9,0.3,0.58,0.67
Sample,151676,10,0.9,0.5,0.61,0.7
Sample,151676,10,0.9,0.7,0.58,0.68
Sample,151676,10,0.9,0.9,0.58,0.67
